library/codellama	codellama:7b	Q4_0	3825898144	6000000
library/codellama	codellama:code	Q4_0	3825898144	6000000
library/codellama	codellama:7b-python-q4_K_S	Q4_K_S	3856740064	6000000
library/codellama	codellama:7b-code-q4_K_S	Q4_K_S	3856831136	6000000
library/codellama	codellama:7b-instruct-q4_K_S	Q4_K_S	3856831136	6000000
library/codellama	codellama:7b-python-q4_K_M	Q4_K_M	4081004256	6000000
library/codellama	codellama:7b-code-q4_K_M	Q4_K_M	4081095328	6000000
library/codellama	codellama:7b-instruct-q4_K_M	Q4_K_M	4081095328	6000000
library/codellama	codellama:7b-python-q4_1	Q4_1	4238749408	6000000
library/codellama	codellama:7b-code-q4_1	Q4_1	4238844576	6000000
library/codellama	codellama:7b-instruct-q4_1	Q4_1	4238844576	6000000
library/codellama	codellama:7b-python-q5_0	Q5_0	4651691744	6000000
library/codellama	codellama:7b-python-q5_K_S	Q5_K_S	4651691744	6000000
library/codellama	codellama:7b-code-q5_0	Q5_0	4651791008	6000000
library/codellama	codellama:7b-code-q5_K_S	Q5_K_S	4651791008	6000000
library/codellama	codellama:7b-instruct-q5_0	Q5_0	4651791008	6000000
library/codellama	codellama:7b-instruct-q5_K_S	Q5_K_S	4651791008	6000000
library/codellama	codellama:7b-python-q5_K_M	Q5_K_M	4783156960	6000000
library/codellama	codellama:7b-code-q5_K_M	Q5_K_M	4783256224	6000000
library/codellama	codellama:7b-instruct-q5_K_M	Q5_K_M	4783256224	6000000
library/codellama	codellama:7b-python-q5_1	Q5_1	5064634080	6000000
library/codellama	codellama:7b-code-q5_1	Q5_1	5064737440	6000000
library/codellama	codellama:7b-instruct-q5_1	Q5_1	5064737440	6000000
library/codellama	codellama:13b-python-q2_K	Q2_K	5429348288	6000000
library/codellama	codellama:13b-code-q2_K	Q2_K	5429442816	6000000
library/codellama	codellama:13b-instruct-q2_K	Q2_K	5429442816	6000000
library/codellama	codellama:7b-python-q6_K	Q6_K	5529194208	6000000
library/codellama	codellama:7b-code-q6_K	Q6_K	5529302176	6000000
library/codellama	codellama:7b-instruct-q6_K	Q6_K	5529302176	6000000
library/codellama	codellama:13b-python-q3_K_S	Q3_K_S	5658980288	6000000
library/codellama	codellama:13b-code-q3_K_S	Q3_K_S	5659083136	6000000
library/codellama	codellama:13b-instruct-q3_K_S	Q3_K_S	5659083136	6000000
library/codellama	codellama:13b-python-q3_K_M	Q3_K_M	6337769408	6000000
library/codellama	codellama:13b-code-q3_K_M	Q3_K_M	6337872256	6000000
library/codellama	codellama:13b-instruct-q3_K_M	Q3_K_M	6337872256	6000000
library/codellama	codellama:13b-python-q3_K_L	Q3_K_L	6929559488	6000000
library/codellama	codellama:13b-code-q3_K_L	Q3_K_L	6929662336	6000000
library/codellama	codellama:13b-instruct-q3_K_L	Q3_K_L	6929662336	6000000
library/codellama	codellama:7b-python-q8_0	Q8_0	7161089760	6000000
library/codellama	codellama:7b-code-q8_0	Q8_0	7161229472	6000000
library/codellama	codellama:7b-instruct-q8_0	Q8_0	7161229472	6000000
library/codellama	codellama:13b-python	Q4_0	7365834688	6000000
library/codellama	codellama:13b	Q4_0	7365948416	6000000
library/codellama	codellama:13b-code	Q4_0	7365948416	6000000
library/codellama	codellama:13b-python-q4_K_S	Q4_K_S	7414331328	6000000
library/codellama	codellama:13b-code-q4_K_S	Q4_K_S	7414445056	6000000
library/codellama	codellama:13b-instruct-q4_K_S	Q4_K_S	7414445056	6000000
library/codellama	codellama:13b-python-q4_K_M	Q4_K_M	7865956288	6000000
library/codellama	codellama:13b-code-q4_K_M	Q4_K_M	7866070016	6000000
library/codellama	codellama:13b-instruct-q4_K_M	Q4_K_M	7866070016	6000000
library/codellama	codellama:13b-python-q4_1	Q4_1	8169060288	6000000
library/codellama	codellama:13b-code-q4_1	Q4_1	8169179136	6000000
library/codellama	codellama:13b-instruct-q4_1	Q4_1	8169179136	6000000
library/codellama	codellama:13b-python-q5_0	Q5_0	8972285888	6000000
library/codellama	codellama:13b-python-q5_K_S	Q5_K_S	8972285888	6000000
library/codellama	codellama:13b-code-q5_0	Q5_0	8972409856	6000000
library/codellama	codellama:13b-code-q5_K_S	Q5_K_S	8972409856	6000000
library/codellama	codellama:13b-instruct-q5_0	Q5_0	8972409856	6000000
library/codellama	codellama:13b-instruct-q5_K_S	Q5_K_S	8972409856	6000000
library/codellama	codellama:13b-python-q5_K_M	Q5_K_M	9229924288	6000000
library/codellama	codellama:13b-code-q5_K_M	Q5_K_M	9230048256	6000000
library/codellama	codellama:13b-instruct-q5_K_M	Q5_K_M	9230048256	6000000
library/codellama	codellama:13b-python-q5_1	Q5_1	9775511488	6000000
library/codellama	codellama:13b-code-q5_1	Q5_1	9775640576	6000000
library/codellama	codellama:13b-instruct-q5_1	Q5_1	9775640576	6000000
library/codellama	codellama:13b-python-q6_K	Q6_K	10679140288	6000000
library/codellama	codellama:13b-code-q6_K	Q6_K	10679275136	6000000
library/codellama	codellama:13b-instruct-q6_K	Q6_K	10679275136	6000000
library/codellama	codellama:7b-python-fp16	F16	13478104768	6000000
library/codellama	codellama:7b-code-fp16	F16	13478367360	6000000
library/codellama	codellama:7b-instruct-fp16	F16	13478367360	6000000
library/codellama	codellama:13b-python-q8_0	Q8_0	13831319488	6000000
library/codellama	codellama:13b-code-q8_0	Q8_0	13831494016	6000000
library/codellama	codellama:13b-instruct-q8_0	Q8_0	13831494016	6000000
library/codellama	codellama:34b-code-q2_K	Q2_K	14210674816	6000000
library/codellama	codellama:34b-instruct-q2_K	Q2_K	14210674816	6000000
library/codellama	codellama:34b-python-q2_K	Q2_K	14210674816	6000000
library/codellama	codellama:34b-code-q3_K_S	Q3_K_S	14605348992	6000000
library/codellama	codellama:34b-instruct-q3_K_S	Q3_K_S	14605348992	6000000
library/codellama	codellama:34b-python-q3_K_S	Q3_K_S	14605348992	6000000
library/codellama	codellama:34b-code-q3_K_M	Q3_K_M	16283594880	6000000
library/codellama	codellama:34b-instruct-q3_K_M	Q3_K_M	16283594880	6000000
library/codellama	codellama:34b-python-q3_K_M	Q3_K_M	16283594880	6000000
library/codellama	codellama:34b-code-q3_K_L	Q3_K_L	17771524224	6000000
library/codellama	codellama:34b-instruct-q3_K_L	Q3_K_L	17771524224	6000000
